"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript React", "Properties", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/.babelrc.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"/home/matheus/Desenvolvimento/souconteudista/.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/home/matheus/Desenvolvimento/souconteudista/.eslintrc.json", "JSON with Comments", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"/home/matheus/Desenvolvimento/souconteudista/README.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 21, 47
"/home/matheus/Desenvolvimento/souconteudista/config-overrides.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 7, 28
"/home/matheus/Desenvolvimento/souconteudista/package-lock.json", "JSON", 0, 0, 28573, 0, 0, 0, 0, 0, 0, 0, 1, 28574
"/home/matheus/Desenvolvimento/souconteudista/package.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 1, 80
"/home/matheus/Desenvolvimento/souconteudista/prettier.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/matheus/Desenvolvimento/souconteudista/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 23, 3, 49
"/home/matheus/Desenvolvimento/souconteudista/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/matheus/Desenvolvimento/souconteudista/src/App.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/home/matheus/Desenvolvimento/souconteudista/src/index.tsx", "TypeScript React", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/CreateArea/index.tsx", "TypeScript React", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 10, 125
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/DeleteArea/index.tsx", "TypeScript React", 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 8, 65
