"filename", "language", "TypeScript React", "XML", "TypeScript", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/src/App.tsx", "TypeScript React", 17, 0, 0, 0, 4, 21
"/home/matheus/Desenvolvimento/souconteudista/src/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/CreateArea/index.tsx", "TypeScript React", 112, 0, 0, 0, 10, 122
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/DeleteArea/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/UpdateArea/index.tsx", "TypeScript React", 129, 0, 0, 0, 13, 142
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/pages/FilteredDisciplinas/index.tsx", "TypeScript React", 196, 0, 0, 0, 18, 214
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/pages/ListAreas/index.tsx", "TypeScript React", 205, 0, 0, 0, 14, 219
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/routes/index.tsx", "TypeScript React", 11, 0, 0, 0, 3, 14
"/home/matheus/Desenvolvimento/souconteudista/src/modules/arquetipos/pages/ListArquetipos/index.tsx", "TypeScript React", 261, 0, 0, 0, 13, 274
"/home/matheus/Desenvolvimento/souconteudista/src/modules/arquetipos/routes/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/CreateAutoresModal/index.tsx", "TypeScript React", 136, 0, 0, 0, 11, 147
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/DeleteAutor/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/UpdateAutoresModal/index.tsx", "TypeScript React", 175, 0, 0, 0, 15, 190
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/pages/ListAutores/index.tsx", "TypeScript React", 196, 0, 0, 1, 16, 213
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/routes/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/CreateCompetenciaModalPPC/index.tsx", "TypeScript React", 120, 0, 0, 0, 10, 130
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/DeleteCompetencia/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/UpdateCompetenciaModal/index.tsx", "TypeScript React", 146, 0, 0, 0, 13, 159
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/pages/FilteredCompetencia/index.tsx", "TypeScript React", 144, 0, 0, 0, 17, 161
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CreateCurso/index.tsx", "TypeScript React", 97, 0, 0, 0, 15, 112
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CursoCard/index.tsx", "TypeScript React", 49, 0, 0, 0, 10, 59
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CursoCard/styles.ts", "TypeScript", 0, 0, 37, 2, 9, 48
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/DeleteCurso/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/UpdateCurso/index.tsx", "TypeScript React", 134, 0, 0, 0, 17, 151
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/pages/ListCursos/index.tsx", "TypeScript React", 132, 0, 0, 1, 16, 149
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/routes/index.tsx", "TypeScript React", 17, 0, 0, 0, 4, 21
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplina/index.tsx", "TypeScript React", 142, 0, 0, 0, 12, 154
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplinaFiltered/index.tsx", "TypeScript React", 116, 0, 0, 0, 10, 126
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplinaPPC/index.tsx", "TypeScript React", 375, 0, 0, 56, 29, 460
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/DeleteDisciplina/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/DeleteDisciplinaPPC/index.tsx", "TypeScript React", 61, 0, 0, 1, 8, 70
